,Price,Prediction,PredDelta,State,Shares,IncShares,StockValue,Cash,Folio,IncSum,Performance,NoLossMarketValue,NoLossMarketPerform,MarketOpt,MarketOptPerform,InactiveValue,InactivePerform
0,636.95411006267318,,0.0,Buy,1.0,1.0,636.95411006267318,363.04588993732682,1000.0,636.95411006267318,1.0,1000.0,1.0,1000.0,1.0,1000.0,1.0
1,626.27239764343574,640.426,6.1377,Hold,1.0,1.0,626.27239764343574,363.04588993732682,989.31828758076256,636.95411006267318,0.98931828758076257,1000.0,1.0,1000.0,1.0,989.31828758076256,0.98931828758076257
2,632.0710537358359,630.393,-10.0333,Sell,0.0,1.0,0.0,995.11694367316272,995.11694367316272,642.75276615507335,0.99511694367316272,1005.7986560924002,1.0057986560924002,1005.7986560924002,1.0057986560924002,995.11694367316272,0.99511694367316272
3,622.58975521019033,619.307,-11.0853,Pass,0.0,1.0,0.0,995.11694367316272,995.11694367316272,642.75276615507335,0.99511694367316272,1005.7986560924002,1.0057986560924002,1005.7986560924002,1.0057986560924002,985.63564514751715,0.98563564514751711
4,612.1013329550558,614.399,-4.90863,Pass,0.0,1.0,0.0,995.11694367316272,995.11694367316272,642.75276615507335,0.99511694367316272,1005.7986560924002,1.0057986560924002,1005.7986560924002,1.0057986560924002,975.14722289238262,0.97514722289238265
5,607.45223766668425,676.464,62.0655,Buy,1.0,1.0,607.45223766668425,387.66470600647847,995.11694367316272,642.75276615507335,0.99511694367316272,1005.7986560924002,1.0057986560924002,1005.7986560924002,1.0057986560924002,970.49812760401107,0.97049812760401111
6,666.03891448859986,702.732,26.2673,Hold,1.0,1.0,666.03891448859986,387.66470600647847,1053.7036204950782,701.33944297698906,1.0537036204950783,1064.3853329143158,1.0643853329143158,1064.3853329143158,1.0643853329143158,1029.0848044259267,1.0290848044259266
7,690.71870482415852,689.157,-13.575,Sell,0.0,1.0,0.0,1078.3834108306369,1078.3834108306369,726.01923331254784,1.0783834108306369,1089.0651232498747,1.0890651232498747,1089.0651232498747,1.0890651232498747,1053.7645947614853,1.0537645947614853
8,677.97189287368633,688.702,-0.454529,Pass,0.0,1.0,0.0,1078.3834108306369,1078.3834108306369,726.01923331254784,1.0783834108306369,1089.0651232498747,1.0890651232498747,1089.0651232498747,1.0890651232498747,1041.0177828110131,1.0410177828110132
9,677.54464167111792,675.924,-12.7782,Pass,0.0,1.0,0.0,1078.3834108306369,1078.3834108306369,726.01923331254784,1.0783834108306369,1089.0651232498747,1.0890651232498747,1089.0651232498747,1.0890651232498747,1040.5905316084447,1.0405905316084447
10,665.53026151625522,692.005,16.0808,Buy,1.0,1.0,665.53026151625522,412.85314931438165,1078.3834108306369,726.01923331254784,1.0783834108306369,1089.0651232498747,1.0890651232498747,1089.0651232498747,1.0890651232498747,1028.576151453582,1.0285761514535821
11,680.64741259474874,698.288,6.28308,Hold,1.0,1.0,680.64741259474874,412.85314931438165,1093.5005619091303,741.13638439104147,1.0935005619091303,1104.1822743283683,1.1041822743283682,1104.1822743283683,1.1041822743283682,1043.6933025320754,1.0436933025320754
12,686.54777486627518,723.586,25.2982,Hold,1.0,1.0,686.54777486627518,412.85314931438165,1099.4009241806568,747.03674666256791,1.0994009241806568,1110.0826365998946,1.1100826365998946,1110.0826365998946,1.1100826365998946,1049.593664803602,1.0495936648036019
13,710.27135661757075,734.624,11.0383,Hold,1.0,1.0,710.27135661757075,412.85314931438165,1123.1245059319524,770.76032841386359,1.1231245059319523,1133.8062183511904,1.1338062183511903,1133.8062183511904,1.1338062183511903,1073.3172465548976,1.0733172465548975
14,720.60715754835314,739.734,5.1095,Hold,1.0,1.0,720.60715754835314,412.85314931438165,1133.4603068627348,781.09612934464599,1.1334603068627347,1144.1420192819728,1.1441420192819729,1144.1420192819728,1.1441420192819729,1083.65304748568,1.08365304748568
15,725.38850871337002,731.027,-8.70691,Sell,0.0,1.0,0.0,1138.2416580277518,1138.2416580277518,785.87748050966297,1.1382416580277517,1148.9233704469898,1.1489233704469899,1148.9233704469898,1.1489233704469899,1088.4343986506969,1.088434398650697
16,717.23987792334947,731.831,0.804382,Buy,1.0,1.0,717.23987792334947,421.00178010440231,1138.2416580277518,785.87748050966297,1.1382416580277517,1148.9233704469898,1.1489233704469899,1148.9233704469898,1.1489233704469899,1080.2857678606763,1.0802857678606763
17,717.99267414936014,715.118,-16.713,Sell,0.0,1.0,0.0,1138.9944542537623,1138.9944542537623,786.63027673567376,1.1389944542537624,1149.6761666730006,1.1496761666730007,1149.6761666730006,1.1496761666730007,1081.0385640866871,1.0810385640866871
