,Price,Prediction,PredDelta,State,Shares,IncShares,StockValue,Cash,Folio,IncSum,Performance,NoLossMarketValue,NoLossMarketPerform,MarketOpt,MarketOptPerform,InactiveValue,InactivePerform
0,759.14001500000006,,0.0,Buy,1.0,1.0,759.14001500000006,240.85998499999994,1000.0,759.14001500000006,1.0,1000.0,1.0,1000.0,1.0,1000.0,1.0
1,718.77002000000005,725.165,4.56543,Hold,1.0,1.0,718.77002000000005,240.85998499999994,959.63000499999998,759.14001500000006,0.95963000499999995,1000.0,1.0,1000.0,1.0,959.63000499999998,0.95963000499999995
2,723.15002400000003,709.542,-15.6238,Sell,0.0,1.0,0.0,964.01000899999997,964.01000899999997,763.52001899999993,0.964010009,1004.3800039999999,1.0043800039999999,1004.3800039999999,1.0043800039999999,964.01000899999997,0.964010009
3,708.14001500000006,707.153,-2.38861,Pass,0.0,1.0,0.0,964.01000899999997,964.01000899999997,763.52001899999993,0.964010009,1004.3800039999999,1.0043800039999999,1004.3800039999999,1.0043800039999999,949.0,0.94899999999999995
4,705.84002699999996,691.799,-15.3536,Pass,0.0,1.0,0.0,964.01000899999997,964.01000899999997,763.52001899999993,0.964010009,1004.3800039999999,1.0043800039999999,1004.3800039999999,1.0043800039999999,946.7000119999999,0.94670001199999987
5,691.02002000000005,693.857,2.0578,Buy,1.0,1.0,691.02002000000005,272.98998899999992,964.01000899999997,763.52001899999993,0.964010009,1004.3800039999999,1.0043800039999999,1004.3800039999999,1.0043800039999999,931.88000499999998,0.93188000500000001
6,693.01000999999997,699.24,5.38293,Hold,1.0,1.0,693.01000999999997,272.98998899999992,965.99999899999989,765.51000899999997,0.96599999899999989,1006.3699939999999,1.0063699939999999,1006.3699939999999,1.0063699939999999,933.8699949999999,0.9338699949999999
7,698.21002199999998,693.185,-6.05524,Sell,0.0,1.0,0.0,971.2000109999999,971.2000109999999,770.71002099999987,0.97120001099999986,1011.5700059999998,1.0115700059999999,1011.5700059999998,1.0115700059999999,939.07000699999992,0.93907000699999987
8,692.35998499999994,696.641,3.45593,Buy,1.0,1.0,692.35998499999994,278.84002599999997,971.2000109999999,770.71002099999987,0.97120001099999986,1011.5700059999998,1.0115700059999999,1011.5700059999998,1.0115700059999999,933.21996999999988,0.9332199699999999
9,695.70001200000002,702.577,5.93665,Hold,1.0,1.0,695.70001200000002,278.84002599999997,974.54003799999998,774.05004799999995,0.974540038,1014.9100329999999,1.0149100329999998,1014.9100329999999,1.0149100329999998,936.55999699999995,0.93655999699999992
10,701.42999299999997,712.639,10.0611,Hold,1.0,1.0,701.42999299999997,278.84002599999997,980.27001899999993,779.78002899999979,0.98027001899999988,1020.6400139999997,1.0206400139999998,1020.6400139999997,1.0206400139999998,942.28997799999991,0.94228997799999992
11,711.11999500000002,714.49,1.85101,Hold,1.0,1.0,711.11999500000002,278.84002599999997,989.96002099999998,789.47003099999984,0.98996002100000002,1030.3300159999999,1.030330016,1030.3300159999999,1.030330016,951.97997999999995,0.95197997999999995
12,712.90002400000003,725.197,10.7071,Hold,1.0,1.0,712.90002400000003,278.84002599999997,991.74005,791.25005999999985,0.99174004999999998,1032.1100449999999,1.0321100449999998,1032.1100449999999,1.0321100449999998,953.76000899999997,0.95376000900000002
13,723.17999299999997,716.976,-8.2204,Sell,0.0,1.0,0.0,1002.0200189999999,1002.0200189999999,801.53002899999979,1.0020200189999999,1042.3900139999996,1.0423900139999995,1042.3900139999996,1.0423900139999995,964.03997799999991,0.96403997799999985
14,715.28997800000002,714.916,-2.06024,Pass,0.0,1.0,0.0,1002.0200189999999,1002.0200189999999,801.53002899999979,1.0020200189999999,1042.3900139999996,1.0423900139999995,1042.3900139999996,1.0423900139999995,956.14996299999996,0.95614996299999999
15,713.30999800000006,712.337,-2.5791,Pass,0.0,1.0,0.0,1002.0200189999999,1002.0200189999999,801.53002899999979,1.0020200189999999,1042.3900139999996,1.0423900139999995,1042.3900139999996,1.0423900139999995,954.169983,0.954169983
16,710.830017,718.225,5.88849,Buy,1.0,1.0,710.830017,291.19000199999994,1002.0200189999999,801.53002899999979,1.0020200189999999,1042.3900139999996,1.0423900139999995,1042.3900139999996,1.0423900139999995,951.69000199999994,0.95169000199999998
17,716.48999000000003,707.558,-10.6675,Sell,0.0,1.0,0.0,1007.679992,1007.679992,807.19000199999982,1.0076799919999999,1048.0499869999999,1.048049987,1048.0499869999999,1.048049987,957.34997499999997,0.95734997499999996
18,706.22997999999995,707.973,0.415405,Buy,1.0,1.0,706.22997999999995,301.45001200000002,1007.679992,807.19000199999982,1.0076799919999999,1048.0499869999999,1.048049987,1048.0499869999999,1.048049987,947.08996499999989,0.94708996499999987
19,706.63000499999998,701.427,-6.54651,Sell,0.0,1.0,0.0,1008.080017,1008.080017,807.59002699999985,1.0080800169999999,1048.4500119999998,1.0484500119999998,1048.4500119999998,1.0484500119999998,947.48998999999992,0.94748998999999989
20,700.32000700000003,711.204,9.77722,Buy,1.0,1.0,700.32000700000003,307.76000999999997,1008.080017,807.59002699999985,1.0080800169999999,1048.4500119999998,1.0484500119999998,1048.4500119999998,1.0484500119999998,941.17999199999997,0.94117999200000002
21,709.73999000000003,705.492,-5.71179,Sell,0.0,1.0,0.0,1017.5,1017.5,817.01000999999974,1.0175000000000001,1057.8699949999996,1.0578699949999995,1057.8699949999996,1.0578699949999995,950.59997499999997,0.95059997499999993
