,Price,Prediction,PredDelta,State,Shares,IncShares,StockValue,Cash,Folio,IncSum,Performance,NoLossMarketValue,NoLossMarketPerform,MarketOpt,MarketOptPerform,InactiveValue,InactivePerform
0,11.791214999999999,,0.0,Buy,84.0,84.0,990.46205999999995,9.5379400000000487,1000.0,11.791214999999999,1.0,1000.0,1.0,1000.0,1.0,1000.0,1.0
1,12.01017,12.1796,-0.277337,Sell,0.0,84.0,0.0,1018.3922200000001,1018.3922200000001,12.01017,1.01839222,1018.3922200000001,1.01839222,1018.3922200000001,1.01839222,1018.3922200000001,1.01839222
2,11.735503999999999,11.9284,-0.251157,Pass,0.0,84.0,0.0,1018.3922200000001,1018.3922200000001,12.01017,1.01839222,1018.3922200000001,1.01839222,1018.3922200000001,1.01839222,995.32027599999992,0.99532027599999995
3,11.486750000000001,11.8041,-0.124264,Pass,0.0,84.0,0.0,1018.3922200000001,1018.3922200000001,12.01017,1.01839222,1018.3922200000001,1.01839222,1018.3922200000001,1.01839222,974.42494000000011,0.97442494000000013
4,11.363667999999999,11.4929,-0.311292,Pass,0.0,84.0,0.0,1018.3922200000001,1018.3922200000001,12.01017,1.01839222,1018.3922200000001,1.01839222,1018.3922200000001,1.01839222,964.086052,0.96408605199999997
5,11.055315999999999,11.2378,-0.255026,Pass,0.0,84.0,0.0,1018.3922200000001,1018.3922200000001,12.01017,1.01839222,1018.3922200000001,1.01839222,1018.3922200000001,1.01839222,938.184484,0.93818448399999999
6,10.802675000000001,11.1005,-0.137314,Pass,0.0,84.0,0.0,1018.3922200000001,1018.3922200000001,12.01017,1.01839222,1018.3922200000001,1.01839222,1018.3922200000001,1.01839222,916.96264000000008,0.91696264000000005
7,10.666638000000001,10.5605,-0.540044,Pass,0.0,84.0,0.0,1018.3922200000001,1018.3922200000001,12.01017,1.01839222,1018.3922200000001,1.01839222,1018.3922200000001,1.01839222,905.5355320000001,0.90553553200000014
8,10.131557000000001,11.1659,0.605432,Buy,100.0,100.0,1013.1557,5.2365200000000414,1018.3922200000001,12.01017,1.01839222,1018.3922200000001,1.01839222,1210.55494,1.21055494,860.58872800000006,0.86058872800000008
9,10.731418,11.8892,0.723269,Hold,100.0,100.0,1073.1417999999999,5.2365200000000414,1078.3783199999998,12.610030999999999,1.0783783199999999,1068.7805440000002,1.0687805440000002,1270.5410400000001,1.2705410400000001,910.97705200000007,0.91097705200000012
10,11.447882,11.8892,0.0,Sell,0.0,100.0,0.0,1150.0247199999999,1150.0247199999999,13.326495,1.1500247199999998,1128.9635199999998,1.1289635199999999,1342.1874400000002,1.3421874400000002,971.16002800000001,0.97116002800000001
11,11.447882,12.0566,0.167435,Buy,100.0,100.0,1144.7882,5.2365199999999277,1150.0247199999999,13.326495,1.1500247199999998,1128.9635199999998,1.1289635199999999,1342.1874400000002,1.3421874400000002,971.16002800000001,0.97116002800000001
12,11.613717999999999,12.1992,0.14258,Hold,100.0,100.0,1161.3717999999999,5.2365199999999277,1166.6083199999998,13.492331,1.1666083199999999,1142.893744,1.142893744,1358.7710400000001,1.3587710400000002,985.09025199999996,0.985090252
13,11.754938000000001,12.6532,0.453968,Hold,100.0,100.0,1175.4938000000002,5.2365199999999277,1180.7303200000001,13.633551000000004,1.1807303200000001,1154.7562240000002,1.1547562240000002,1372.8930400000004,1.3728930400000003,996.95273200000008,0.99695273200000012
14,12.204510000000001,12.4962,-0.156999,Sell,0.0,100.0,0.0,1225.6875199999999,1225.6875199999999,14.083123000000002,1.2256875199999999,1192.5202720000002,1.1925202720000001,1417.8502400000002,1.4178502400000002,1034.7167800000002,1.0347167800000001
15,12.049038000000001,12.1207,-0.375457,Pass,0.0,100.0,0.0,1225.6875199999999,1225.6875199999999,14.083123000000002,1.2256875199999999,1192.5202720000002,1.1925202720000001,1417.8502400000002,1.4178502400000002,1021.6571320000002,1.0216571320000001
16,11.677202000000001,12.3012,0.180528,Buy,104.0,104.0,1214.4290080000001,11.258511999999882,1225.6875199999999,14.083123000000002,1.2256875199999999,1192.5202720000002,1.1925202720000001,1474.1827320000002,1.4741827320000003,990.42290800000012,0.9904229080000001
17,11.855994000000001,12.4935,0.192312,Hold,104.0,104.0,1233.0233760000001,11.258511999999882,1244.281888,14.261915000000002,1.2442818879999999,1207.5388000000003,1.2075388000000002,1492.7771000000002,1.4927771000000003,1005.4414360000001,1.0054414360000001
18,12.046447000000001,12.5681,0.0745773,Hold,104.0,104.0,1252.8304880000001,11.258511999999882,1264.0889999999999,14.452368000000002,1.264089,1223.5368520000002,1.2235368520000003,1512.5842120000002,1.5125842120000002,1021.4394880000001,1.0214394880000002
19,12.120296000000002,12.9489,0.380735,Hold,104.0,104.0,1260.5107840000001,11.258511999999882,1271.7692959999999,14.526217000000003,1.271769296,1229.7401680000003,1.2297401680000002,1520.2645080000002,1.5202645080000001,1027.6428040000001,1.0276428040000001
20,12.497313999999999,13.3754,0.426576,Hold,104.0,104.0,1299.720656,11.258511999999882,1310.9791679999998,14.903235,1.3109791679999998,1261.4096800000002,1.2614096800000003,1559.4743800000001,1.5594743800000002,1059.312316,1.059312316
21,12.919677999999999,13.7405,0.365116,Hold,104.0,104.0,1343.646512,11.258511999999882,1354.9050239999999,15.325599,1.354905024,1296.8882560000002,1.2968882560000001,1603.4002359999999,1.6034002359999999,1094.790892,1.094790892
22,13.28115,13.1281,-0.612432,Sell,0.0,104.0,0.0,1392.498112,1392.498112,15.687071000000001,1.392498112,1327.2519040000002,1.3272519040000001,1640.993324,1.6409933240000001,1125.15454,1.12515454
